segment_id,points,mean_PRICE_ln,id,mean_chislennost_naseleniya_092025,mean_srednmes_zarplata,mean_temp_prirosta_percent,mean_house_point_count,mean_area_km2,mean_density_hp_per_km2
RKZ75-S1485,1529,16.958469782418522,KZ75,265156.22222222213,449734.5555555557,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ75-S1444,1158,17.930010614143193,KZ75,265156.22222222225,449734.55555555556,1.998888894451989,99477.0,1326.1170511370503,75.01374023862044
RKZ75-S1458,1113,17.569410880218918,KZ75,265156.22222222225,449734.55555555556,1.9988888944519894,99477.0,1326.11705113705,75.01374023862044
RKZ75-S1505,1056,17.845608421241298,KZ75,265156.2222222222,449734.5555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862043
RKZ75-S1472,919,18.006971838300988,KZ75,265156.22222222213,449734.55555555574,1.9988888944519898,99477.0,1326.1170511370506,75.01374023862044
RKZ75-S1429,899,17.570022581860623,KZ75,265156.2222222222,449734.5555555557,1.9988888944519898,99477.0,1326.1170511370506,75.01374023862044
RKZ75-S1449,763,17.62083145967096,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ75-S112,749,17.26735549976876,KZ75,265156.2222222222,449734.5555555556,1.9988888944519891,99477.0,1326.1170511370506,75.01374023862044
RKZ75-S147,744,18.146865687345432,KZ75,265156.2222222222,449734.5555555556,1.9988888944519894,99477.0,1326.1170511370506,75.01374023862044
RKZ71-S313,727,17.16667070718165,KZ71,320298.0,506373.6666666668,4.891999927163125,83901.0,1819.4872380352292,46.11244214639305
RKZ75-S1492,725,17.083673946768524,KZ75,265156.2222222222,449734.55555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ19-S1224,723,17.009253769093224,KZ19,152946.89999999997,339552.89999999997,-0.2839999999999999,8655.0,205128.2882101221,0.0421931079107641
RKZ79-S981,722,17.28855702150267,KZ79,256825.8,312770.3999999999,2.0420000791549677,15196.0,2131.460701241428,7.129383146097594
RKZ23-S1109,718,16.829243087342963,KZ23,89241.625,479367.625,-0.6275000050663948,10814.0,257825.28019931822,0.04194313292955589
RKZ75-S1439,715,17.836664457981982,KZ75,265156.2222222222,449734.5555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862044
RKZ75-S28,714,17.319282913615204,KZ75,265156.2222222222,449734.5555555557,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862043
RKZ71-S383,713,17.193253827544865,KZ71,320298.0,506373.66666666674,4.891999927163124,83901.0,1819.4872380352294,46.11244214639305
RKZ39-S1361,708,16.82207089160025,KZ39,41135.549999999996,326000.05,-1.562000011838972,35451.0,506678.75796546234,0.06996740921674183
RKZ35-S686,702,17.102789638827538,KZ35,87089.38461538461,411027.1538461539,-1.3630769092303054,30946.0,551401.1615688812,0.05612247879919312
RKZ71-S337,700,17.376950852503086,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352292,46.11244214639304
RKZ75-S29,698,17.355940582907255,KZ75,265156.2222222222,449734.55555555556,1.9988888944519896,99477.0,1326.11705113705,75.01374023862044
RKZ39-S528,697,16.732477275236153,KZ39,41135.54999999999,326000.04999999993,-1.562000011838972,35451.0,506678.75796546234,0.06996740921674184
RKZ33-S1242,697,16.566293946607388,KZ33,68963.90000000002,336557.29999999993,-1.3709999918937683,5129.0,240135.44620165738,0.02135877931029326
RKZ15-S739,697,16.54209412214175,KZ15,73385.6923076923,351445.7692307692,-1.4115384358626144,27347.0,687637.4113374825,0.039769505773121015
RKZ71-S389,695,17.473224178277377,KZ71,320298.0,506373.66666666674,4.891999927163125,83901.0,1819.487238035229,46.11244214639304
RKZ71-S1421,692,17.058670902799513,KZ71,320298.0,506373.66666666674,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ35-S610,691,16.141909531146563,KZ35,87089.38461538461,411027.1538461538,-1.3630769092303054,30946.0,551401.1615688812,0.05612247879919311
RKZ71-S399,691,17.079381183360564,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ75-S68,687,17.178335399059705,KZ75,265156.2222222222,449734.55555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ39-S1364,686,16.84451640313145,KZ39,41135.54999999999,326000.04999999993,-1.562000011838972,35451.0,506678.7579654624,0.06996740921674183
